Time [h],m_ham_do,m_stirrer,m_temp,dm_feed,dm_AIR1,dm_AIR2,dm_AIR3,dm_AIR4
1.049555556,92.79950305,599.9995,29.9995,7.189500057,108918.3589,108918.3198,0,0
1.066277778,92.4995,599.9995,29.9995,7.369499886,109935.0073,109934.9604,0,0
1.082972222,92.39950153,599.9995,29.9995,7.549500191,110918.3198,110918.2808,0,0
1.099694444,92.59949847,599.9995,29.9995,7.729500019,111934.9526,111934.9214,0,0
1.116388889,92.19949695,599.9995,29.9995,7.919500076,112934.9292,112934.8979,0,0
1.133111111,92.39950153,599.9995,29.9995,8.099500381,113934.6089,113934.4995,0,0
1.149527778,92.4995,599.9995,29.9995,8.279499733,114917.9683,114917.8901,0,0
1.16625,92.69949695,599.9995,29.9995,8.469500267,115934.6401,115934.562,0,0
1.182944444,92.09949847,599.9995,29.9995,8.649499619,116917.9526,116917.8823,0,0
1.199694444,91.29950305,599.9995,29.9995,8.829499924,117934.6011,117934.5386,0,0
1.216416667,91.4995,599.9995,29.9995,9.019500458,118934.5698,118934.5229,0,0
1.232861111,91.69949695,599.9995,29.9995,9.199499809,119917.8823,119917.8433,0,0
1.249583333,91.29950305,599.9995,29.9995,9.389500343,120917.8589,120917.8276,0,0
1.266277778,91.39950153,599.9995,29.9995,9.569499695,121917.8433,121917.812,0,0
1.283027778,91.29950305,599.9995,29.9995,9.759500229,122934.4683,122934.4604,0,0
1.299722222,90.4995,599.9995,29.9995,9.949499809,123934.4526,123934.437,0,0
1.316166667,90.9995,599.9995,29.9995,10.13950034,124917.7573,124917.7495,0,0
1.332916667,91.09949847,599.9995,29.9995,10.32949992,125934.4214,125934.3901,0,0
1.349611111,90.29950305,599.9995,29.9995,10.50950023,126917.7261,126917.7026,0,0
1.366361111,89.69949695,599.9995,29.9995,10.70950004,127934.0933,127933.9995,0,0
1.383055556,90.09949847,599.9995,29.9995,10.89949962,128934.1089,128934.0386,0,0
1.399777778,89.69949695,599.9995,29.9995,11.08950015,129934.1089,129934.0464,0,0
1.416222222,89.39950153,599.9995,29.9995,11.26950046,130917.4292,130917.3823,0,0
1.432944444,89.89950153,599.9995,29.9995,11.46950027,131934.062,131934.0308,0,0
1.449638889,90.19949695,599.9995,29.9995,11.65949985,132917.3745,132917.3433,0,0
1.466361111,89.29950305,599.9995,29.9995,11.84950038,133934.0308,133934.0151,0,0
1.483083333,89.09949847,599.9995,29.9995,12.04950019,134950.687,134950.6558,0,0
1.499527778,88.89950153,599.9995,29.9995,12.22949954,135917.312,135917.312,0,0
1.51625,88.69949695,599.9995,29.9995,12.42950031,136917.2964,136917.2808,0,0
1.532972222,89.69949695,599.9995,29.9995,12.62950011,137933.937,137933.937,0,0
1.549694444,89.29950305,599.9995,29.9995,12.81949969,138950.562,138950.5776,0,0
1.566416667,89.79950305,599.9995,29.9995,13.01950046,139933.8745,139933.8901,0,0
1.582833333,89.79950305,599.9995,29.9995,13.20950004,140917.1714,140917.187,0,0
1.599555556,89.09949847,599.9995,29.9995,13.39949962,141916.8745,141916.812,0,0
1.616277778,87.79950305,599.9995,29.9995,13.59950038,142933.562,142933.5308,0,0
1.632972222,88.89950153,599.9995,29.9995,13.79950019,143916.8901,143916.8745,0,0
1.649722222,86.4995,599.9995,29.9995,13.9995,144933.5464,144933.5308,0,0
1.666416667,86.39950153,599.9995,29.9995,14.19949981,145933.5151,145933.5151,0,0
1.682833333,86.4995,599.9995,29.9995,14.39949962,146933.4839,146933.4995,0,0
1.699555556,86.79950305,599.9995,29.9995,14.58950015,147916.812,147916.812,0,0
1.716277778,85.89950153,599.9995,29.9995,14.78949996,148933.4526,148933.4526,0,0
1.732972222,85.9995,599.9995,29.9995,14.98949977,149933.437,149933.4526,0,0
1.749694444,86.09949847,599.9995,29.9995,15.18949958,150933.4214,150933.437,0,0
1.766416667,85.29950305,599.9995,29.9995,15.39949962,151950.062,151950.0776,0,0
1.782861111,84.59949847,599.9995,29.9995,15.58950015,152916.7183,152916.7183,0,0
1.799555556,84.59949847,599.9995,29.9995,15.79950019,153933.3433,153933.3745,0,0
1.816277778,84.09949847,599.9995,29.9995,15.9995,154916.6558,154916.687,0,0
1.833,85.39950153,599.9995,29.9995,16.19950076,155933.0151,155932.9683,0,0
1.849722222,83.9995,599.9995,29.9995,16.40949985,156949.7183,156949.687,0,0
1.866444444,83.4995,599.9995,29.9995,16.61950084,157949.7183,157949.687,0,0
1.882861111,84.39950153,599.9995,29.9995,16.81949969,158933.0308,158933.0151,0,0
1.899583333,84.09949847,599.9995,29.9995,17.01950046,159933.0151,159933.0151,0,0
1.916277778,83.79950305,599.9995,29.9995,17.22949954,160932.9839,160932.9839,0,0
1.933,84.79950305,599.9995,29.9995,17.43950053,161949.6401,161949.6558,0,0
1.949722222,83.79950305,599.9995,29.9995,17.63949939,162949.6245,162949.6401,0,0
1.966444444,84.69949695,599.9995,29.9995,17.84950038,163932.937,163932.9526,0,0
1.982888889,84.39950153,599.9995,29.9995,18.04949924,164932.9058,164932.937,0,0
1.999583333,82.59949847,599.9995,29.9995,18.25950023,165932.8901,165932.9214,0,0
2.016305556,81.59949847,599.9995,29.9995,18.46949931,166932.8745,166932.9058,0,0
2.033027778,80.29950305,599.9995,29.9995,18.67950031,167932.8589,167932.8901,0,0
2.049722222,81.59949847,599.9995,29.9995,18.88949939,168949.5151,168949.5464,0,0
2.066444444,80.89950153,599.9995,29.9995,19.09950038,169932.5151,169932.4995,0,0
